номер аудиофайла	порядковый номер	правильный ответ	неправильный ответ1	неправильный ответ2	неправильный ответ3	!	?	.		контрольная сумма
1	1	Солнце сияет!	Солнце сияет?	Солнце сияет.	Солнце сияет 	1	2	3	4	=SUM(G2:J2)
205	2	Дождь идёт?	Дождь идёт.	Дождь идёт 	Дождь идёт!	2	3	4	1	=SUM(G3:J3)
524	3	Ветер дует.	Ветер дует 	Ветер дует!	Ветер дует?	3	4	1	2	=SUM(G4:J4)
761	4	Птицы поют 	Птицы поют?	Птицы поют.	Птицы поют!	4	2	3	1	=SUM(G5:J5)
525	5	Дети играют.	Дети играют 	Дети играют!	Дети играют?	3	4	1	2	=SUM(G6:J6)
2	6	Кошка спит!	Кошка спит.	Кошка спит?	Кошка спит 	1	3	2	4	=SUM(G7:J7)
206	7	Собака лает?	Собака лает!	Собака лает 	Собака лает.	2	1	4	3	=SUM(G8:J8)
762	8	Мама готовит 	Мама готовит!	Мама готовит.	Мама готовит?	4	1	3	2	=SUM(G9:J9)
207	9	Папа работает?	Папа работает.	Папа работает!	Папа работает 	2	3	1	4	=SUM(G10:J10)
763	10	Брат учится 	Брат учится.	Брат учится?	Брат учится!	4	3	2	1	=SUM(G11:J11)
526	11	Сестра танцует.	Сестра танцует 	Сестра танцует?	Сестра танцует!	3	4	2	1	=SUM(G12:J12)
3	12	Учитель объясняет!	Учитель объясняет.	Учитель объясняет?	Учитель объясняет 	1	3	2	4	=SUM(G13:J13)
208	13	Ученик отвечает?	Ученик отвечает!	Ученик отвечает 	Ученик отвечает.	2	1	4	3	=SUM(G14:J14)
4	14	Врач лечит!	Врач лечит?	Врач лечит.	Врач лечит 	1	2	3	4	=SUM(G15:J15)
209	15	Повар варит?	Повар варит.	Повар варит 	Повар варит!	2	3	4	1	=SUM(G16:J16)
527	16	Художник рисует.	Художник рисует 	Художник рисует!	Художник рисует?	3	4	1	2	=SUM(G17:J17)
764	17	Музыкант играет 	Музыкант играет?	Музыкант играет.	Музыкант играет!	4	2	3	1	=SUM(G18:J18)
528	18	Актёр играет.	Актёр играет 	Актёр играет!	Актёр играет?	3	4	1	2	=SUM(G19:J19)
5	19	Писатель пишет!	Писатель пишет.	Писатель пишет?	Писатель пишет 	1	3	2	4	=SUM(G20:J20)
210	20	Спортсмен бежит?	Спортсмен бежит!	Спортсмен бежит 	Спортсмен бежит.	2	1	4	3	=SUM(G21:J21)
765	21	Пловец плавает 	Пловец плавает!	Пловец плавает.	Пловец плавает?	4	1	3	2	=SUM(G22:J22)
211	22	Лыжник скользит?	Лыжник скользит.	Лыжник скользит!	Лыжник скользит 	2	3	1	4	=SUM(G23:J23)
766	23	Фигурист кружится 	Фигурист кружится.	Фигурист кружится?	Фигурист кружится!	4	3	2	1	=SUM(G24:J24)
529	24	Гимнаст прыгает.	Гимнаст прыгает 	Гимнаст прыгает?	Гимнаст прыгает!	3	4	2	1	=SUM(G25:J25)
6	25	Боксёр бьёт!	Боксёр бьёт.	Боксёр бьёт?	Боксёр бьёт 	1	3	2	4	=SUM(G26:J26)
212	26	Футболист бьёт?	Футболист бьёт!	Футболист бьёт 	Футболист бьёт.	2	1	4	3	=SUM(G27:J27)
530	27	Теннисист подаёт.	Теннисист подаёт 	Теннисист подаёт!	Теннисист подаёт?	3	4	1	2	=SUM(G28:J28)
7	28	Шахматист думает!	Шахматист думает.	Шахматист думает?	Шахматист думает 	1	3	2	4	=SUM(G29:J29)
213	29	Шахматист ходит?	Шахматист ходит!	Шахматист ходит 	Шахматист ходит.	2	1	4	3	=SUM(G30:J30)
767	30	Повар режет 	Повар режет!	Повар режет.	Повар режет?	4	1	3	2	=SUM(G31:J31)
214	31	Садовник поливает?	Садовник поливает.	Садовник поливает!	Садовник поливает 	2	3	1	4	=SUM(G32:J32)
